,Date,US,China,India,Japan,Korea,Singapore,Italy,UK,Germany,Spain,Brazil,Australia,Canada,Argentina,South Africa,Sweden,Algeria,Bangladesh,Pakistan,France,Turkey,Switzerland,Belgium,Netherlands,Austria,Portugal,Norway,Peru,Mexico,Indonesia,Israel,Russia,Saudi Arabia,Chile,Malaysia,Iran,New Zealand,World
0,2020-01-22,1,547,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555
1,2020-01-23,1,639,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653
2,2020-01-24,2,916,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941
3,2020-01-25,2,1399,0,2,2,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1438
4,2020-01-26,5,2062,0,4,3,4,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2118
5,2020-01-27,5,2863,0,4,4,5,0,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2927
6,2020-01-28,5,5494,0,7,4,7,0,0,4,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5578
7,2020-01-29,5,6070,0,7,4,7,0,0,4,0,0,5,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6165
8,2020-01-30,5,8124,1,11,4,10,0,0,4,0,0,9,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8235
9,2020-01-31,6,9783,1,15,11,13,2,2,5,0,0,9,3,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,9925
10,2020-02-01,8,11871,1,20,12,16,2,2,8,1,0,12,4,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,12038
11,2020-02-02,8,16607,2,20,15,18,2,2,10,1,0,12,4,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,16787
12,2020-02-03,11,19693,3,20,15,18,2,2,12,1,0,12,4,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,19881
13,2020-02-04,11,23680,3,22,16,24,2,2,12,1,0,13,4,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,10,0,0,23892
14,2020-02-05,12,27409,3,22,19,28,2,2,12,1,0,13,5,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,12,0,0,27636
15,2020-02-06,12,30553,3,45,23,28,2,2,12,1,0,14,5,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,12,0,0,30818
16,2020-02-07,12,34075,3,25,24,30,3,3,13,1,0,15,7,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,12,0,0,34392
17,2020-02-08,12,36778,3,25,24,33,3,3,13,1,0,15,7,0,0,1,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,2,0,0,16,0,0,37121
